20001,X003A1YO0J,5
20002,X003A1YO0J,5
20003,X003A1YO0J,5
30031,X003A1YO0J,5
30032,X003A1YO0J,5
30033,X003A1YO0J,5
30034,X003A1YO0J,5
4-2026,X003A1YO0J,3
4-2031,X003A1YO0J,5
5-2029,X003A1YO0J,4
5-1930,X003A1YO0J,4
5-1931,X003A1YO0J,4
5-1932,X003A1YO0J,4
5-1933,X003A1YO0J,4
6-2002,X003A1YO0J,4
6-1944,X003A1YO0J,4
13-0051,X003A1YO0J,4
13-0053,X003A1YO0J,4
13-0087,X003A1YO0J,2
16-0012,X003A1YO0J,4
16-0013,X003A1YO0J,4
16-0014,X003A1YO0J,4
18-0019,X003A1YO0J,4
23-0013,X003A1YO0J,1
23-0014,X003A1YO0J,4
23-0023,X003A1YO0J,4
24-0039,X003A1YO0J,4
26-0026,X003A1YO0J,4
